,library size
1495,9.569552
1496,10.089967
1497,9.616472
1498,10.619081
1499,9.557611
1500,9.337853
1501,10.551663
1502,9.997524
1503,10.374304
1504,9.545455
1505,9.550093
1506,8.748305
1507,9.745429
1508,9.860946
1509,10.468972
1510,9.887815
1511,10.257694
1512,8.231376
1513,9.053686
1514,9.622715
1515,9.374159
1516,9.07326
1517,9.461255
1518,10.212185
1519,10.204666
1520,9.931978
1521,7.869402
1522,10.009872
1523,10.155918
1524,10.370549
1525,10.688461
1526,9.908176
1527,9.229849
1528,10.025528
1529,8.5805435
1530,9.363919
1531,9.405496
1532,9.817167
1533,10.056938
1534,9.655154
1535,8.629807
1536,8.5842905
1537,8.783243
1538,10.410064
1539,9.83553
1540,9.335563
1541,9.390243
1542,8.453401
1543,9.808243
1544,10.017129
1545,8.951699
1546,10.187161
1547,8.579792
1548,9.523032
1549,9.944006
1550,9.9079275
1551,9.950562
1552,10.206846
1553,9.388487
1554,10.242563
1555,8.944028
1556,10.355678
1557,10.115247
1558,10.179148
1559,10.245942
1560,9.066932
1561,10.31248
1562,10.516752
1563,8.661986
1564,11.322914
1565,9.9129925
1566,10.716061
1567,9.977296
1568,9.8979225
1569,10.548757
1570,8.883363
1571,11.264425
1572,10.296239
1573,10.626776
1574,10.225897
1575,10.202629
1576,10.482542
1577,10.29306
1578,10.211082
1579,10.367787
1580,9.358674
1581,10.163503
1582,10.404839
1583,10.449729
1584,10.425846
1585,10.547287
1586,10.706341
1587,9.542015
1588,10.701242
1589,10.562613
1590,9.913587
1591,10.61241
1592,10.0594225
1593,10.768464
1594,10.218189
1595,10.309552
1596,10.302163
1597,9.698123
1598,9.807582
1599,9.367087
1600,10.426321
1601,10.192532
1602,9.9711
1603,9.298992
1604,10.77342
1605,8.9980135
1606,9.233764
1607,10.373428
1608,9.386057
1609,10.250652
1610,11.37912
1611,10.158672
1612,10.473732
1613,9.854822
1614,10.25513
1615,10.729985
1616,9.628392
1617,10.060876
1618,10.042554
1619,9.424403
1620,8.601534
1621,9.169622
1622,8.208491
1623,9.588092
1624,9.182147
1625,9.292197
1626,9.030376
1627,9.501367
1628,8.310661
1629,10.005367
1630,8.085486
1631,9.333708
1632,10.06968
1633,9.4225445
1634,9.453052
1635,9.091219
1636,9.320807
1637,9.658162
1638,9.35988
1639,9.705158
1640,9.473704
1641,8.39931
1642,8.65626
1643,9.467382
1644,8.990566
1645,8.278936
1646,7.7744355
1647,9.561771
1648,8.948976
1649,8.756525
1650,9.5225935
1651,8.612503
1652,8.485084
1653,9.691716
1654,8.759512
1655,10.029635
1656,9.1440935
1657,9.483721
1658,9.356775
1659,10.10806
1660,9.840121
1661,9.768068
1662,7.894318
1663,9.873441
1664,9.152499
1665,9.772468
1666,9.402778
1667,9.948413
1668,9.29321
1669,8.531096
1670,9.245418
1671,9.722506
1672,7.7634463
1673,9.297894
1674,7.7106533
1675,9.3127165
1676,8.503702
1677,8.332789
1678,8.918248
1679,9.592401
1680,8.33663
1681,10.076305
1682,9.970118
1683,9.173366
1684,9.443435
1685,8.750366
1686,8.647695
1687,9.64982
1688,8.87989
1689,9.830433
1690,8.809713
1691,9.443435
1692,11.105469
1693,10.534599
1694,9.200189
1695,10.6372
1696,10.347051
1697,10.220012
1698,10.347853
1699,9.59431
1700,10.105081
1701,9.077152
1702,9.817385
1703,10.095759
1704,10.319893
1705,9.995748
1706,9.989206
1707,9.86277
1708,10.777059
1709,10.113059
1710,8.904766
1711,10.639215
1712,10.828718
1713,9.258464
1714,9.8078575
1715,9.529593
1716,9.464518
1717,9.254644
1718,9.500545
1719,10.638496
1720,9.333089
1721,10.046895
1722,9.576579
1723,9.424483
1724,9.102644
1725,10.234337
1726,10.362936
1727,9.351319
1728,9.334327
1729,10.290653
1730,9.254836
1731,10.192344
1732,10.3373785
1733,9.942131
1734,9.307558
1735,10.2291155
1736,9.045584
1737,9.383285
1738,10.09547
1739,9.003439
1740,10.141599
1741,10.971932
1742,9.758057
1743,10.59215
1744,10.514666
1745,10.565325
1746,9.704427
1747,9.291921
1748,10.359931
1749,10.533056
1750,11.010679
1751,9.960529
1752,8.730852
1753,10.196754
1754,8.97259
1755,9.297985
1756,10.627406
1757,9.976319
1758,9.722984
1759,8.882669
1760,10.453832
1761,8.798153
1762,9.2209835
1763,10.026678
1764,10.480831
1765,11.08762
1766,8.970559
1767,9.038246
1768,8.769041
1769,8.814479
1770,9.933483
1771,9.97762
1772,10.126431
1773,10.181612
1774,9.107421
1775,10.012207
1776,9.717941
1777,10.156927
1778,8.8755665
1779,9.793003
1780,9.652138
1781,9.745781
1782,8.960596
1783,10.087516
1784,9.87019
1785,9.590282
1786,8.805975
1787,9.190138
1788,9.05357
1789,10.072977
1790,9.617138
1791,9.521495
1792,9.7424965
1793,10.450597
1794,9.550734
1795,8.78309
1796,11.186378
1797,10.500454
1798,9.09549
1799,8.85495
1800,10.316392
1801,9.313799
1802,8.726156
1803,9.988105
1804,9.261603
1805,10.047891
1806,9.315691
1807,8.793461
1808,8.272315
1809,8.603555
1810,9.179469
1811,9.916749
1812,9.73761
1813,9.500545
1814,9.068546
1815,10.552213
1816,9.710449
1817,10.082512
1818,9.01542
1819,8.409386
1820,9.526173
1821,10.227996
1822,10.221505
1823,9.5943775
1824,10.024244
1825,10.243987
1826,8.947286
1827,10.499848
1828,8.602636
1829,9.817167
1830,8.835502
1831,8.033334
1832,10.387116
1833,8.169903
1834,10.358568
1835,8.369853
1836,10.020115
1837,9.505618
1838,10.055908
1839,9.027019
1840,9.593628
1841,10.271667
1842,9.63417
1843,9.075093
1844,9.500769
1845,9.578657
1846,9.804661
1847,8.943506
1848,8.667852
1849,9.134323
1850,8.977146
1851,9.064968
1852,10.562897
1853,10.634653
1854,8.460199
