,nozero
1694,8.370547
1695,9.586994
1696,9.377125
1697,9.296701
1698,9.43068
1699,8.768263
1700,9.080345
1701,8.271293
1702,8.924656
1703,9.182764
1704,9.401539
1705,9.159574
1706,9.093357
1707,8.995413
1708,9.809452
1709,9.240676
1710,8.143808
1711,9.689923
1712,9.795178
1713,8.377932
1714,8.851664
1715,8.713089
1716,8.654343
1717,8.469053
1718,8.698681
1719,9.687134
1720,8.537192
1721,9.1805
1722,8.735365
1723,8.623174
1724,8.312135
1725,9.3337965
1726,9.473474
1727,8.55314
1728,8.511578
1729,9.378817
1730,8.435766
1731,9.307558
1732,9.457435
1733,9.099409
1734,8.453614
1735,9.289336
1736,8.208491
1737,8.510773
1738,9.175024
1739,8.190354
1740,9.15006
1741,9.900433
1742,8.898366
1743,9.611396
1744,9.547384
1745,9.57755
1746,8.874728
1747,8.4375
1748,9.446281
1749,9.480444
1750,9.945828
1751,9.127828
1752,8.015987
1753,9.266532
1754,8.267706
1755,8.537388
1756,9.610726
1757,9.110851
1758,8.77555
1759,8.14119
1760,9.538636
1761,8.12415
1762,8.454041
1763,9.148358
1764,9.578311
1765,10.061687
1766,8.255309
1767,8.166216
1768,8.016318
1769,8.07278
1770,9.030855
1771,9.015663
1772,9.218705
1773,9.107643
1774,8.284504
1775,8.983816
1776,8.776321
1777,9.198066
1778,8.109826
1779,8.875707
1780,8.702344
1781,8.910855
1782,8.174421
1783,9.212638
1784,9.019301
1785,8.672829
1786,8.064951
1787,8.315566
1788,8.264621
1789,9.052633
1790,8.665786
1791,8.719645
1792,8.771215
1793,9.441531
1794,8.738415
1795,7.988882
1796,9.922212
1797,9.512443
1798,8.157657
1799,8.063063
1800,9.318657
1801,8.516793
1802,7.9291267
1803,8.975757
1804,8.477828
1805,9.074406
1806,8.499029
1807,8.038512
1808,7.5164332
1809,7.854381
1810,8.35538
1811,8.938138
1812,8.7478285
1813,8.644707
1814,8.310906
1815,9.545383
1816,8.757154
1817,9.16199
1818,8.226306
1819,7.689829
1820,8.577536
1821,9.267477
1822,9.305378
1823,8.61577
1824,9.092682
1825,9.347839
1826,8.152198
1827,9.537772
1828,7.8924522
1829,8.852808
1830,8.091321
1831,7.298445
1832,9.400878
1833,7.462215
1834,9.294682
1835,7.6333694
1836,9.138952
1837,8.531885
1838,9.130973
1839,8.231376
